family	genus	species	mycorrhizal_type	AOO	EOO	env_B2	geo_B2	ex_dent	env_B2_corrected	geo_B2_corrected	RC1_position	RC2_position	RC3_position	lat_position	lat_range	biome	climate_zone
Fabaceae	Albizia	Albizia procera	AM	9600	2767688.70257531	0.36242975165269	0.293987599565553	0.310513643659711	0.112539382756361	0.180169386404858	1.22992398144247	0.608064758449736	0.373292102231605	-15.0545497115857	9.64508992422074	Tropical	Tropical
Fabaceae	Archidendron	Archidendron whitei	AM	2500	4905.87872292793	0.191481916194301	0.093098794085265	0.00349117174959872	0.000668496256376573	0.0030161509548468	0.656373384145381	2.01074167304978	1.63345730060983	-17.4064181260252	1.16877443689166	Tropical	Tropical
Fabaceae	Bossiaea	Bossiaea aquifolium	AM	8700	43008.5611016401	0.144304583506422	0.0840508349841774	0.0280497592295345	0.00404770882307339	0.0217933799713428	-0.784737909473622	1.45285610625079	-0.700675157374297	-33.132008504025	2.80950254961174	Non-tropical	Non-tropical
Fabaceae	Castanospermum	Castanospermum australe	AM	27600	1318821.99467292	0.394382648410999	0.39154465533517	0.271829855537721	0.107204978344146	0.165547366237932	0.149417045397084	1.07018658773525	0.765990559907665	-24.2574320104809	20.3057984455771	Non-tropical	Non-tropical
Fabaceae	Erythrina	Erythrina variegata	AM	4400	3203265.97180911	0.366582186855892	0.304318553834321	0.283868378812199	0.104061091084213	0.168050929062149	1.06797419010241	0.748387916318625	0.471940533386604	-16.4073428900051	19.6675432715722	Tropical	Tropical
Fabaceae	Erythrophleum	Erythrophleum chlorostachys	EcM-AM	177800	1679695.73689941	0.300799907152996	0.37034792943761	0.396227929373997	0.119185324367122	0.353769827161232	1.182736976308	0.268575267019143	-0.324850637644336	-15.272805356743	7.21646510586152	Tropical	Tropical
Fabaceae	Intsia	Intsia bijuga	EcM	2800	391924.95309472	0.21271071268075	0.120468101734856	0.0294141252006421	0.00625669953430938	0.0226222039042494	1.24524552479314	1.19845311911448	0.930564013574383	-14.2613090295355	7.71216871390385	Tropical	Tropical
Fabaceae	Peltophorum	Peltophorum pterocarpum	AM	5700	2932050.1479018	0.172083861236517	0.203230619975719	0.230176565008026	0.0396096720727393	0.147516346015445	1.23116514861889	0.72107770212886	0.304597017022003	-14.7505129042633	13.6078871400432	Tropical	Tropical
Fabaceae	Piliostigma	Piliostigma malabaricum	EcM	9300	845703.339239557	0.294658956209951	0.264812278694456	0.16922150882825	0.0498626331596053	0.151895625492477	1.42334971019585	0.439628632021788	0.0941576727114277	-13.9799823709553	3.18716994096851	Tropical	Tropical
Fabaceae	Pongamia	Pongamia pinnata	AM	29200	1989286.6699328	0.20222073189986	0.220376973737527	0.346268057784912	0.070022580078808	0.187550854958567	1.08432268522015	0.723275662276284	0.386578438797167	-15.8593414188989	16.5070893663474	Tropical	Tropical
Fabaceae	Senna	Senna surattensis	AM	4700	2574533.66005627	0.489347416976889	0.504527653379221	0.44747191011236	0.218969223383198	0.310758514980682	0.849771345853926	0.251681354535077	0.678415633484564	-18.5121660468908	16.5911588380125	Tropical	Tropical
