fungal_root_id	family	genus	species	species_verbatim	mycorrhizal_type	replicates	habitat	host_age	host_age_group	am_evaluated	am_criteria	am_structures	ecm_evaluated	ecm_structures	erm_structure	nm_structures	latitude	longitude	comment	source	link
OBS3670192	Myrtaceae	Eucalyptus	Eucalyptus globulus		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670193	Myrtaceae	Eucalyptus	Eucalyptus gomphocephala		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670194	Myrtaceae	Eucalyptus	Eucalyptus gunnii		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670195	Myrtaceae	Eucalyptus	Eucalyptus macarthurii		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670199	Myrtaceae	Eucalyptus	Eucalyptus melliodora		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670200	Myrtaceae	Eucalyptus	Eucalyptus pyriformis		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670201	Myrtaceae	Eucalyptus	Eucalyptus robusta		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670202	Myrtaceae	Eucalyptus	Eucalyptus sideroxylon		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670203	Myrtaceae	Eucalyptus	Eucalyptus urnigera		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670204	Myrtaceae	Eucalyptus	Eucalyptus viminalis		EcM					-			yes						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3671668	Myrtaceae	Leptospermum	Leptospermum scoparium		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670210	Myrtaceae	Syzygium	Syzygium cumini		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3669654	Podocarpaceae	Lagarostrobos	Lagarostrobos franklinii		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3673370	Podocarpaceae	Podocarpus	Podocarpus elatus		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670474	Rutaceae	Flindersia	Flindersia australis		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670475	Rutaceae	Flindersia	Flindersia brayleyana		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670476	Rutaceae	Flindersia	Flindersia maculosa		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3670477	Rutaceae	Flindersia	Flindersia xanthoxyla		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3721696	Thymelaeaceae	Phaleria	Phaleria biflora		AM					yes			-						uncurated: no time to curate	"10.1890/11-1749.1__Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690."	
OBS3689992	Myrtaceae	Eucalyptus	Eucalyptus camaldulensis		EcM					-			yes						uncurated: no time to curate	"10.19182/bft1989.221.a19621 __Thoen, D., & Ducousso, M. (1989). Champignons et ectomycorhizes du Fouta Djalon. Bois For Trop, 221, 549-559."	
OBS3725409	Thymelaeaceae	Phaleria	Phaleria biflora		NM					-			-						uncurated: no time to curate	"10.2307/1930710__Daubenmire, R. F. (1941). Some ecologic features of the subterranean organs of alpine plants.��Ecology,��22(4), 370-378."	
OBS3693834	Fabaceae	Dichrostachys	Dichrostachys cinerea		AM					yes			-						uncurated: no time to curate	"10.2307/2404045__Hogberg, P. (1986). Nitrogen-fixation and nutrient relations in savanna woodland trees (Tanzania).��Journal of Applied Ecology, 675-688."	
OBS3680614	Arecaceae	Cocos	Cocos nucifera		AM					yes			-						uncurated: no time to curate	"10.2307/2444994__Koske, R. E., Gemma, J. N., & Flynn, T. (1992). Mycorrhizae in Hawaiian angiosperms: a survey with implications for the origin of the native flora. American Journal of Botany, 853-862."	
