family	genus	species	mycorrhizal_type
Fabaceae	Archidendron	Archidendron kanisii	AM
Fabaceae	Archidendron	Archidendron whitei	AM
Fabaceae	Bossiaea	Bossiaea aquifolium	AM
Fabaceae	Castanospermum	Castanospermum australe	AM
Fabaceae	Dichrostachys	Dichrostachys cinerea	AM
Fabaceae	Erythrina	Erythrina fusca	AM
Fabaceae	Erythrina	Erythrina variegata	AM
Fabaceae	Erythrophleum	Erythrophleum chlorostachys	EcM-AM
Fabaceae	Intsia	Intsia bijuga	EcM
Fabaceae	Peltophorum	Peltophorum pterocarpum	AM
Fabaceae	Piliostigma	Piliostigma malabaricum	EcM
Fabaceae	Pongamia	Pongamia pinnata	AM
Fabaceae	Senna	Senna surattensis	AM
Fabaceae	Senna	Senna timoriensis	AM
Fabaceae	Sophora	Sophora tomentosa	AM
Hernandiaceae	Gyrocarpus	Gyrocarpus americanus	AM
Lamiaceae	Clerodendrum	Clerodendrum costatum	AM
Lamiaceae	Premna	Premna tomentosa	AM
Lamiaceae	Vitex	Vitex trifolia	AM
Lauraceae	Beilschmiedia	Beilschmiedia collina	AM
Lauraceae	Cryptocarya	Cryptocarya angulata	AM
Lauraceae	Cryptocarya	Cryptocarya corrugata	AM
Lauraceae	Cryptocarya	Cryptocarya hypospodia	AM
Lauraceae	Cryptocarya	Cryptocarya mackinnoniana	AM
Lauraceae	Cryptocarya	Cryptocarya obovata	AM
Lauraceae	Litsea	Litsea bindoniana	AM
Lauraceae	Litsea	Litsea breviumbellata	AM
Lauraceae	Litsea	Litsea glutinosa	AM
Lecythidaceae	Barringtonia	Barringtonia racemosa	AM
Lecythidaceae	Planchonia	Planchonia careya	AM
Loganiaceae	Strychnos	Strychnos lucida	AM
Loranthaceae	Nuytsia	Nuytsia floribunda	NM
Lythraceae	Lagerstroemia	Lagerstroemia speciosa	AM
Lythraceae	Sonneratia	Sonneratia alba	AM
Lythraceae	Sonneratia	Sonneratia caseolaris	AM
Malvaceae	Brachychiton	Brachychiton megaphyllus	AM
Malvaceae	Brachychiton	Brachychiton paradoxus	AM
Malvaceae	Franciscodendron	Franciscodendron laurifolium	AM
Malvaceae	Helicteres	Helicteres isora	AM
Malvaceae	Heritiera	Heritiera actinophylla	AM
Malvaceae	Heritiera	Heritiera littoralis	AM
Malvaceae	Heritiera	Heritiera trifoliolata	AM
Malvaceae	Hibiscus	Hibiscus tiliaceus	AM
Malvaceae	Thespesia	Thespesia populnea	AM
Meliaceae	Aglaia	Aglaia elaeagnoidea	AM
Meliaceae	Melia	Melia azedarach	AM
Meliaceae	Owenia	Owenia vernicosa	EcM-AM
Meliaceae	Synoum	Synoum glandulosum	AM
Meliaceae	Toona	Toona ciliata	AM
Metteniusaceae	Apodytes	Apodytes brachystylis	AM
Moraceae	Antiaris	Antiaris toxicaria	AM
Moraceae	Ficus	Ficus hispida	AM
Moraceae	Ficus	Ficus microcarpa	AM
Moraceae	Ficus	Ficus platypoda	AM
Moraceae	Ficus	Ficus racemosa	AM
Moraceae	Ficus	Ficus scobina	AM
Moraceae	Ficus	Ficus variegata	AM
Moraceae	Ficus	Ficus virens	AM
Myrtaceae	Allosyncarpia	Allosyncarpia ternata	EcM
Myrtaceae	Asteromyrtus	Asteromyrtus symphyocarpa	AM
Myrtaceae	Calytrix	Calytrix exstipulata	AM
Myrtaceae	Corymbia	Corymbia bleeseri	EcM
Myrtaceae	Corymbia	Corymbia polycarpa	EcM
Myrtaceae	Corymbia	Corymbia porrecta	EcM
Myrtaceae	Eucalyptus	Eucalyptus camaldulensis	EcM
Myrtaceae	Eucalyptus	Eucalyptus dives	EcM
Myrtaceae	Eucalyptus	Eucalyptus globulus	EcM
Myrtaceae	Eucalyptus	Eucalyptus goniocalyx	EcM
Myrtaceae	Eucalyptus	Eucalyptus grandis	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus haemastoma	EcM
Myrtaceae	Eucalyptus	Eucalyptus incrassata	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus macrorhyncha	EcM
Myrtaceae	Eucalyptus	Eucalyptus melliodora	EcM
Myrtaceae	Eucalyptus	Eucalyptus miniata	EcM
Myrtaceae	Eucalyptus	Eucalyptus obliqua	EcM
Myrtaceae	Eucalyptus	Eucalyptus pellita	EcM
Myrtaceae	Eucalyptus	Eucalyptus phoenicea	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus polyanthemos	EcM
Myrtaceae	Eucalyptus	Eucalyptus racemosa	EcM
Myrtaceae	Eucalyptus	Eucalyptus radiata	EcM
Myrtaceae	Eucalyptus	Eucalyptus regnans	EcM
Myrtaceae	Eucalyptus	Eucalyptus robusta	EcM
Myrtaceae	Eucalyptus	Eucalyptus rubida	EcM
Myrtaceae	Eucalyptus	Eucalyptus sideroxylon	EcM
Myrtaceae	Eucalyptus	Eucalyptus sieberi	EcM
Myrtaceae	Eucalyptus	Eucalyptus tectifica	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus tereticornis	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus tetrodonta	EcM
Myrtaceae	Hypocalymma	Hypocalymma angustifolium	AM
Myrtaceae	Leptospermum	Leptospermum lanigerum	EcM-AM
Myrtaceae	Leptospermum	Leptospermum scoparium	EcM-AM
Myrtaceae	Melaleuca	Melaleuca alternifolia	EcM-AM
Myrtaceae	Melaleuca	Melaleuca decussata	EcM
Myrtaceae	Melaleuca	Melaleuca nervosa	EcM-AM
Myrtaceae	Melaleuca	Melaleuca quinquenervia	EcM-AM
Myrtaceae	Melaleuca	Melaleuca uncinata	EcM-AM
Myrtaceae	Melaleuca	Melaleuca viridiflora	EcM-AM
Myrtaceae	Rhodomyrtus	Rhodomyrtus macrocarpa	AM
Myrtaceae	Syzygium	Syzygium angophoroides	AM
Myrtaceae	Syzygium	Syzygium aqueum	AM
Myrtaceae	Syzygium	Syzygium cormiflorum	AM
Myrtaceae	Syzygium	Syzygium cumini	AM
Myrtaceae	Syzygium	Syzygium endophloium	AM
Myrtaceae	Syzygium	Syzygium forte	AM
Myrtaceae	Syzygium	Syzygium hemilamprum	AM
Myrtaceae	Syzygium	Syzygium ingens	AM
Myrtaceae	Syzygium	Syzygium muelleri	AM
Myrtaceae	Syzygium	Syzygium nervosum	AM
Myrtaceae	Syzygium	Syzygium resa	AM
Myrtaceae	Syzygium	Syzygium wilsonii	AM
Myrtaceae	Verticordia	Verticordia cunninghamii	AM
Myrtaceae	Verticordia	Verticordia verticillata	AM
Myrtaceae	Xanthostemon	Xanthostemon paradoxus	AM
Nothofagaceae	Nothofagus	Nothofagus cunninghamii	EcM
Nothofagaceae	Nothofagus	Nothofagus gunnii	EcM
Olacaceae	Ximenia	Ximenia americana	AM
Oleaceae	Chionanthus	Chionanthus ramiflorus	AM
Oleaceae	Olea	Olea paniculata	AM
Pandanaceae	Pandanus	Pandanus spiralis	AM
