scientific_name	genus	family	mycorrhizal_type	estimate
Brassaiopsis hainla	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis hispida	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis magnifica	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis minor	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis mitis	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis phanrangensis	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis producta	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis pseudoficifolia	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis quercifolia	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis resecta	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis rufosetosa	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis shweliensis	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis simplex	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis simplicifolia	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis stellata	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis sumatrana	Brassaiopsis	Araliaceae	AM	genus
Brassaiopsis tibetanus	Brassaiopsis	Araliaceae	AM	genus
Brassiantha pentamera	Brassiantha	Celastraceae	AM	genus
Brassiophoenix drymophloeoides	Brassiophoenix	Arecaceae	AM	genus
Brassiophoenix schumannii	Brassiophoenix	Arecaceae	AM	genus
Bravaisia berlandieriana	Bravaisia	Acanthaceae	AM	genus
Bravaisia grandiflora	Bravaisia	Acanthaceae	AM	genus
Bravaisia integerrima	Bravaisia	Acanthaceae	AM	genus
Brazzeia congoensis	Brazzeia	Lecythidaceae	AM	genus
Brazzeia longipedicellata	Brazzeia	Lecythidaceae	AM	genus
Brazzeia soyauxii	Brazzeia	Lecythidaceae	AM	genus
Bredemeyera divaricata	Bredemeyera	Polygalaceae	AM	genus
Bredemeyera floribunda	Bredemeyera	Polygalaceae	AM	genus
Bredemeyera hebeclada	Bredemeyera	Polygalaceae	AM	genus
Bremeria erectiloba	Bremeria	Rubiaceae	AM	genus
Bremeria humblotii	Bremeria	Rubiaceae	AM	genus
Bremeria hymenopogonoides	Bremeria	Rubiaceae	AM	genus
Bremeria landia	Bremeria	Rubiaceae	AM	genus
Bremeria pervillei	Bremeria	Rubiaceae	AM	genus
Bremeria scabrella	Bremeria	Rubiaceae	AM	genus
Bremeria scabridior	Bremeria	Rubiaceae	AM	genus
Bremeria trichophlebia	Bremeria	Rubiaceae	AM	genus
Bremeria vestita	Bremeria	Rubiaceae	AM	genus
Brenandendron donianum	Brenandendron	Asteraceae	AM	genus
Brenandendron frondosum	Brenandendron	Asteraceae	AM	genus
Brenandendron titanophyllum	Brenandendron	Asteraceae	AM	genus
Brenania brieyi	Brenania	Rubiaceae	AM	genus
Brenania rhomboideifolia	Brenania	Rubiaceae	AM	genus
Brenierea insignis	Brenierea	Fabaceae	AM	genus
Breonadia salicina	Breonadia	Rubiaceae	AM	genus
Breonia boivinii	Breonia	Rubiaceae	AM	genus
Breonia capuronii	Breonia	Rubiaceae	AM	genus
Breonia chinensis	Breonia	Rubiaceae	AM	genus
Breonia cuspidata	Breonia	Rubiaceae	AM	genus
Breonia decaryana	Breonia	Rubiaceae	AM	genus
Breonia fragifera	Breonia	Rubiaceae	AM	genus
Breonia havilandiana	Breonia	Rubiaceae	AM	genus
Breonia louvelii	Breonia	Rubiaceae	AM	genus
Breonia lowryi	Breonia	Rubiaceae	AM	genus
Breonia macrocarpa	Breonia	Rubiaceae	AM	genus
Breonia madagascariensis	Breonia	Rubiaceae	AM	genus
Breonia membranacea	Breonia	Rubiaceae	AM	genus
Breonia perrieri	Breonia	Rubiaceae	AM	genus
Breonia richardsonii	Breonia	Rubiaceae	AM	genus
Breonia sambiranensis	Breonia	Rubiaceae	AM	genus
Breonia sphaerantha	Breonia	Rubiaceae	AM	genus
Breonia stipulata	Breonia	Rubiaceae	AM	genus
Breonia taolagnaroensis	Breonia	Rubiaceae	AM	genus
Breonia tayloriana	Breonia	Rubiaceae	AM	genus
Breonia tsaratananensis	Breonia	Rubiaceae	AM	genus
Bretschneidera sinensis	Bretschneidera	Akaniaceae	AM	genus
Breviea sericea	Breviea	Sapotaceae	AM	genus
Brexia alaticarpa	Brexia	Celastraceae	AM	genus
Brexia madagascariensis	Brexia	Celastraceae	AM	genus
Brexia australis	Brexia	Celastraceae	AM	genus
Brexia marioniae	Brexia	Celastraceae	AM	genus
Brexiella cymosa	Brexiella	Celastraceae	AM	genus
Brexiella ilicifolia	Brexiella	Celastraceae	AM	genus
Breynia bicolor	Breynia	Phyllanthaceae	AM	genus
Breynia cernua	Breynia	Phyllanthaceae	AM	genus
Breynia collaris	Breynia	Phyllanthaceae	AM	genus
Breynia coronata	Breynia	Phyllanthaceae	AM	genus
Breynia discigera	Breynia	Phyllanthaceae	AM	genus
Breynia disticha	Breynia	Phyllanthaceae	AM	genus
Breynia fruticosa	Breynia	Phyllanthaceae	AM	genus
Breynia garrettii	Breynia	Phyllanthaceae	AM	genus
Breynia indosinensis	Breynia	Phyllanthaceae	AM	genus
Breynia kitanovii	Breynia	Phyllanthaceae	AM	genus
Breynia macrantha	Breynia	Phyllanthaceae	AM	genus
Breynia microphylla	Breynia	Phyllanthaceae	AM	genus
Breynia oblongifolia	Breynia	Phyllanthaceae	AM	genus
Breynia pierrei	Breynia	Phyllanthaceae	AM	genus
Breynia podocarpa	Breynia	Phyllanthaceae	AM	genus
Breynia quadrangularis	Breynia	Phyllanthaceae	AM	genus
Breynia racemosa	Breynia	Phyllanthaceae	AM	genus
Breynia retusa	Breynia	Phyllanthaceae	AM	genus
Breynia rostrata	Breynia	Phyllanthaceae	AM	genus
Breynia septata	Breynia	Phyllanthaceae	AM	genus
Breynia similis	Breynia	Phyllanthaceae	AM	genus
Breynia subindochinensis	Breynia	Phyllanthaceae	AM	genus
Breynia tiepii	Breynia	Phyllanthaceae	AM	genus
Breynia vestita	Breynia	Phyllanthaceae	AM	genus
Breynia vitis-idaea	Breynia	Phyllanthaceae	AM	genus
Bribria apiculata	Bribria	Violaceae	AM	family
Bribria crenata	Bribria	Violaceae	AM	family
Bribria oraria	Bribria	Violaceae	AM	family
Bridelia adusta	Bridelia	Phyllanthaceae	AM	genus
Bridelia affinis	Bridelia	Phyllanthaceae	AM	genus
Bridelia assamica	Bridelia	Phyllanthaceae	AM	genus
Bridelia atroviridis	Bridelia	Phyllanthaceae	AM	genus
Bridelia balansae	Bridelia	Phyllanthaceae	AM	genus
Bridelia brideliifolia	Bridelia	Phyllanthaceae	AM	genus
Bridelia cathartica	Bridelia	Phyllanthaceae	AM	genus
Bridelia cinnamomea	Bridelia	Phyllanthaceae	AM	genus
Bridelia curtisii	Bridelia	Phyllanthaceae	AM	genus
Bridelia duvigneaudii	Bridelia	Phyllanthaceae	AM	genus
Bridelia erapensis	Bridelia	Phyllanthaceae	AM	genus
Bridelia exaltata	Bridelia	Phyllanthaceae	AM	genus
Bridelia ferruginea	Bridelia	Phyllanthaceae	AM	genus
Bridelia glauca	Bridelia	Phyllanthaceae	AM	genus
Bridelia grandis	Bridelia	Phyllanthaceae	AM	genus
Bridelia insulana	Bridelia	Phyllanthaceae	AM	genus
Bridelia leichhardtii	Bridelia	Phyllanthaceae	AM	genus
Bridelia macrocarpa	Bridelia	Phyllanthaceae	AM	genus
Bridelia micrantha	Bridelia	Phyllanthaceae	AM	genus
Bridelia mollis	Bridelia	Phyllanthaceae	AM	genus
Bridelia montana	Bridelia	Phyllanthaceae	AM	genus
Bridelia moonii	Bridelia	Phyllanthaceae	AM	genus
Bridelia ndellensis	Bridelia	Phyllanthaceae	AM	genus
Bridelia oligantha	Bridelia	Phyllanthaceae	AM	genus
Bridelia ovata	Bridelia	Phyllanthaceae	AM	genus
Bridelia pervilleana	Bridelia	Phyllanthaceae	AM	genus
Bridelia pustulata	Bridelia	Phyllanthaceae	AM	genus
Bridelia retusa	Bridelia	Phyllanthaceae	AM	genus
Bridelia ripicola	Bridelia	Phyllanthaceae	AM	genus
Bridelia scleroneura	Bridelia	Phyllanthaceae	AM	genus
Bridelia sikkimensis	Bridelia	Phyllanthaceae	AM	genus
Bridelia somalensis	Bridelia	Phyllanthaceae	AM	genus
Bridelia speciosa	Bridelia	Phyllanthaceae	AM	genus
Bridelia stipularis	Bridelia	Phyllanthaceae	AM	genus
Bridelia taitensis	Bridelia	Phyllanthaceae	AM	genus
Bridelia tenuifolia	Bridelia	Phyllanthaceae	AM	genus
Bridelia tomentosa	Bridelia	Phyllanthaceae	AM	genus
Bridelia triplocarya	Bridelia	Phyllanthaceae	AM	genus
Bridelia tulasneana	Bridelia	Phyllanthaceae	AM	genus
Bridelia verrucosa	Bridelia	Phyllanthaceae	AM	genus
Bridelia wilksii	Bridelia	Phyllanthaceae	AM	genus
Brieya fasciculata	Brieya	Annonaceae	AM	family
Brieya latipetala	Brieya	Annonaceae	AM	family
Neobrochoneura acuminata	Neobrochoneura	Myristicaceae	AM	family
Neobrochoneura madagascariensis	Neobrochoneura	Myristicaceae	AM	family
Brodriguesia santosii	Brodriguesia	Fabaceae	AM	genus
Brombya platynema	Brombya	Rutaceae	AM	genus
Brongniartia alamosana	Brongniartia	Fabaceae	AM	genus
Brongniartia cuneata	Brongniartia	Fabaceae	AM	genus
Brongniartia glabrata	Brongniartia	Fabaceae	AM	genus
Brongniartia guiengolensis	Brongniartia	Fabaceae	AM	genus
Brongniartia montalvoana	Brongniartia	Fabaceae	AM	genus
Brongniartia pacifica	Brongniartia	Fabaceae	AM	genus
Brongniartia parryi	Brongniartia	Fabaceae	AM	genus
Brongniartia trifoliata	Brongniartia	Fabaceae	AM	genus
Brosimum acutifolium	Brosimum	Moraceae	AM	genus
Brosimum alicastrum	Brosimum	Moraceae	AM	genus
Brosimum amazonicum	Brosimum	Moraceae	AM	genus
Brosimum costaricanum	Brosimum	Moraceae	AM	genus
Brosimum gaudichaudii	Brosimum	Moraceae	AM	genus
Brosimum glaucum	Brosimum	Moraceae	AM	genus
Brosimum glaziovii	Brosimum	Moraceae	AM	genus
Brosimum guianense	Brosimum	Moraceae	AM	genus
Brosimum lactescens	Brosimum	Moraceae	AM	genus
Brosimum longifolium	Brosimum	Moraceae	AM	genus
Brosimum melanopotamicum	Brosimum	Moraceae	AM	genus
Brosimum multinervium	Brosimum	Moraceae	AM	genus
Brosimum oligandrum	Brosimum	Moraceae	AM	genus
Brosimum parinarioides	Brosimum	Moraceae	AM	genus
Brosimum potabile	Brosimum	Moraceae	AM	genus
Brosimum rubescens	Brosimum	Moraceae	AM	genus
Brosimum sprucei	Brosimum	Moraceae	AM	genus
Brosimum steyermarkii	Brosimum	Moraceae	AM	genus
Brosimum utile	Brosimum	Moraceae	AM	genus
Broussonetia harmandii	Broussonetia	Moraceae	AM	genus
Broussonetia kaempferi	Broussonetia	Moraceae	AM	genus
Broussonetia monoica	Broussonetia	Moraceae	AM	genus
Broussonetia papyrifera	Broussonetia	Moraceae	AM	genus
Brownea birschellii	Brownea	Fabaceae	AM	family
Brownea bolivarensis	Brownea	Fabaceae	AM	family
Brownea chocoana	Brownea	Fabaceae	AM	family
Brownea coccinea	Brownea	Fabaceae	AM	family
Brownea enricii	Brownea	Fabaceae	AM	family
Brownea gladysrojasiae	Brownea	Fabaceae	AM	family
Brownea grandiceps	Brownea	Fabaceae	AM	family
Brownea hermesias	Brownea	Fabaceae	AM	family
Brownea leucantha	Brownea	Fabaceae	AM	family
Brownea longipedicellata	Brownea	Fabaceae	AM	family
Brownea macrophylla	Brownea	Fabaceae	AM	family
Brownea multijuga	Brownea	Fabaceae	AM	family
Brownea puberula	Brownea	Fabaceae	AM	family
Brownea rosa-de-monte	Brownea	Fabaceae	AM	family
Brownea santanderensis	Brownea	Fabaceae	AM	family
Brownea similis	Brownea	Fabaceae	AM	family
Brownea stenantha	Brownea	Fabaceae	AM	family
Brownea tillettiana	Brownea	Fabaceae	AM	family
Browneopsis cauliflora	Browneopsis	Fabaceae	AM	genus
Browneopsis disepala	Browneopsis	Fabaceae	AM	genus
Browneopsis excelsa	Browneopsis	Fabaceae	AM	genus
Browneopsis macrofoliolata	Browneopsis	Fabaceae	AM	genus
Browneopsis peruviana	Browneopsis	Fabaceae	AM	genus
Browneopsis sanintiae	Browneopsis	Fabaceae	AM	genus
Browneopsis ucayalina	Browneopsis	Fabaceae	AM	genus
Browningia altissima	Browningia	Cactaceae	AM	genus
Browningia amstutziae	Browningia	Cactaceae	AM	genus
Browningia candelaris	Browningia	Cactaceae	AM	genus
Browningia columnaris	Browningia	Cactaceae	AM	genus
Browningia hertlingiana	Browningia	Cactaceae	AM	genus
Browningia microsperma	Browningia	Cactaceae	AM	genus
Browningia pilleifera	Browningia	Cactaceae	AM	genus
Brownlowia arachnoidea	Brownlowia	Malvaceae	AM	genus
Brownlowia argentata	Brownlowia	Malvaceae	AM	genus
Brownlowia calciphila	Brownlowia	Malvaceae	AM	genus
Brownlowia cuspidata	Brownlowia	Malvaceae	AM	genus
Brownlowia eberhardtii	Brownlowia	Malvaceae	AM	genus
Brownlowia elata	Brownlowia	Malvaceae	AM	genus
Brownlowia elliptica	Brownlowia	Malvaceae	AM	genus
Brownlowia emarginata	Brownlowia	Malvaceae	AM	genus
Brownlowia ferruginea	Brownlowia	Malvaceae	AM	genus
Brownlowia fluminensis	Brownlowia	Malvaceae	AM	genus
Brownlowia glabrata	Brownlowia	Malvaceae	AM	genus
Brownlowia grandistipulata	Brownlowia	Malvaceae	AM	genus
Brownlowia havilandii	Brownlowia	Malvaceae	AM	genus
Brownlowia helferiana	Brownlowia	Malvaceae	AM	genus
Brownlowia kleinhovioidea	Brownlowia	Malvaceae	AM	genus
Brownlowia macrophylla	Brownlowia	Malvaceae	AM	genus
Brownlowia ovalis	Brownlowia	Malvaceae	AM	genus
Brownlowia paludosa	Brownlowia	Malvaceae	AM	genus
Brownlowia palustris	Brownlowia	Malvaceae	AM	genus
Brownlowia peltata	Brownlowia	Malvaceae	AM	genus
Brownlowia riparia	Brownlowia	Malvaceae	AM	genus
Brownlowia rubra	Brownlowia	Malvaceae	AM	genus
Brownlowia sarawhensis	Brownlowia	Malvaceae	AM	genus
Brownlowia sarwonoi	Brownlowia	Malvaceae	AM	genus
Brownlowia stipulata	Brownlowia	Malvaceae	AM	genus
Brownlowia tabularis	Brownlowia	Malvaceae	AM	genus
Brownlowia tersa	Brownlowia	Malvaceae	AM	genus
Brownlowia velutina	Brownlowia	Malvaceae	AM	genus
Brucea antidysenterica	Brucea	Simaroubaceae	AM	genus
Brucea guineensis	Brucea	Simaroubaceae	AM	genus
Brucea javanica	Brucea	Simaroubaceae	AM	genus
Brucea macrocarpa	Brucea	Simaroubaceae	AM	genus
Brucea mollis	Brucea	Simaroubaceae	AM	genus
Brucea tonkinensis	Brucea	Simaroubaceae	AM	genus
Brugmansia arborea	Brugmansia	Solanaceae	AM	genus
Brugmansia aurea	Brugmansia	Solanaceae	AM	genus
Brugmansia insignis	Brugmansia	Solanaceae	AM	genus
Brugmansia sanguinea	Brugmansia	Solanaceae	AM	genus
Brugmansia suaveolens	Brugmansia	Solanaceae	AM	genus
Brugmansia versicolor	Brugmansia	Solanaceae	AM	genus
Brugmansia vulcanicola	Brugmansia	Solanaceae	AM	genus
Bruguiera cylindrica	Bruguiera	Rhizophoraceae	NM-AM	genus
Bruguiera exaristata	Bruguiera	Rhizophoraceae	NM-AM	genus
Bruguiera gymnorhiza	Bruguiera	Rhizophoraceae	NM-AM	genus
Bruguiera parviflora	Bruguiera	Rhizophoraceae	NM-AM	genus
Bruguiera sexangula	Bruguiera	Rhizophoraceae	NM-AM	genus
Bruinsmia polysperma	Bruinsmia	Styracaceae	AM	genus
Bruinsmia styracoides	Bruinsmia	Styracaceae	AM	genus
Brunellia acostae	Brunellia	Brunelliaceae	AM	genus
Brunellia acutangula	Brunellia	Brunelliaceae	AM	genus
Brunellia amayensis	Brunellia	Brunelliaceae	AM	genus
Brunellia boliviana	Brunellia	Brunelliaceae	AM	genus
Brunellia boqueronensis	Brunellia	Brunelliaceae	AM	genus
Brunellia briquetii	Brunellia	Brunelliaceae	AM	genus
Brunellia brunnea	Brunellia	Brunelliaceae	AM	genus
Brunellia cayambensis	Brunellia	Brunelliaceae	AM	genus
Brunellia comocladifolia	Brunellia	Brunelliaceae	AM	genus
Brunellia costaricensis	Brunellia	Brunelliaceae	AM	genus
Brunellia cutervensis	Brunellia	Brunelliaceae	AM	genus
Brunellia cuzcoensis	Brunellia	Brunelliaceae	AM	genus
Brunellia darienensis	Brunellia	Brunelliaceae	AM	genus
Brunellia dichapetaloides	Brunellia	Brunelliaceae	AM	genus
Brunellia dulcis	Brunellia	Brunelliaceae	AM	genus
Brunellia ecuadoriensis	Brunellia	Brunelliaceae	AM	genus
Brunellia elliptica	Brunellia	Brunelliaceae	AM	genus
Brunellia farallonensis	Brunellia	Brunelliaceae	AM	genus
Brunellia foreroi	Brunellia	Brunelliaceae	AM	genus
Brunellia glabra	Brunellia	Brunelliaceae	AM	genus
Brunellia goudotii	Brunellia	Brunelliaceae	AM	genus
Brunellia hexasepala	Brunellia	Brunelliaceae	AM	genus
Brunellia hygrothermica	Brunellia	Brunelliaceae	AM	genus
Brunellia inermis	Brunellia	Brunelliaceae	AM	genus
Brunellia integrifolia	Brunellia	Brunelliaceae	AM	genus
Brunellia latifolia	Brunellia	Brunelliaceae	AM	genus
Brunellia littlei	Brunellia	Brunelliaceae	AM	genus
Brunellia macrophylla	Brunellia	Brunelliaceae	AM	genus
Brunellia mexicana	Brunellia	Brunelliaceae	AM	genus
Brunellia morii	Brunellia	Brunelliaceae	AM	genus
Brunellia neblinensis	Brunellia	Brunelliaceae	AM	genus
Brunellia occidentalis	Brunellia	Brunelliaceae	AM	genus
Brunellia oliveri	Brunellia	Brunelliaceae	AM	genus
Brunellia ovalifolia	Brunellia	Brunelliaceae	AM	genus
Brunellia pallida	Brunellia	Brunelliaceae	AM	genus
Brunellia pauciflora	Brunellia	Brunelliaceae	AM	genus
Brunellia penderiscana	Brunellia	Brunelliaceae	AM	genus
Brunellia pitayensis	Brunellia	Brunelliaceae	AM	genus
Brunellia propinqua	Brunellia	Brunelliaceae	AM	genus
Brunellia putumayensis	Brunellia	Brunelliaceae	AM	genus
Brunellia racemifera	Brunellia	Brunelliaceae	AM	genus
Brunellia rhoides	Brunellia	Brunelliaceae	AM	genus
Brunellia rufa	Brunellia	Brunelliaceae	AM	genus
Brunellia sibundoya	Brunellia	Brunelliaceae	AM	genus
Brunellia standleyana	Brunellia	Brunelliaceae	AM	genus
Brunellia stenoptera	Brunellia	Brunelliaceae	AM	genus
Brunellia stuebelii	Brunellia	Brunelliaceae	AM	genus
Brunellia subsessilis	Brunellia	Brunelliaceae	AM	genus
Brunellia susaconensis	Brunellia	Brunelliaceae	AM	genus
Brunellia tomentosa	Brunellia	Brunelliaceae	AM	genus
Brunellia trianae	Brunellia	Brunelliaceae	AM	genus
Brunellia trigyna	Brunellia	Brunelliaceae	AM	genus
Brunellia velutina	Brunellia	Brunelliaceae	AM	genus
Brunellia weberbaueri	Brunellia	Brunelliaceae	AM	genus
Brunellia zamorensis	Brunellia	Brunelliaceae	AM	genus
Brunfelsia americana	Brunfelsia	Solanaceae	AM	family
Brunfelsia australis	Brunfelsia	Solanaceae	AM	family
Brunfelsia clandestina	Brunfelsia	Solanaceae	AM	family
Brunfelsia clarensis	Brunfelsia	Solanaceae	AM	family
Brunfelsia densifolia	Brunfelsia	Solanaceae	AM	family
Brunfelsia dwyeri	Brunfelsia	Solanaceae	AM	family
Brunfelsia grandiflora	Brunfelsia	Solanaceae	AM	family
Brunfelsia imatacana	Brunfelsia	Solanaceae	AM	family
Brunfelsia jamaicensis	Brunfelsia	Solanaceae	AM	family
Brunfelsia lactea	Brunfelsia	Solanaceae	AM	family
Brunfelsia macrocarpa	Brunfelsia	Solanaceae	AM	family
Brunfelsia membranacea	Brunfelsia	Solanaceae	AM	family
Brunfelsia nitida	Brunfelsia	Solanaceae	AM	family
Brunfelsia pauciflora	Brunfelsia	Solanaceae	AM	family
Brunfelsia plowmaniana	Brunfelsia	Solanaceae	AM	family
Brunfelsia portoricensis	Brunfelsia	Solanaceae	AM	family
Brunfelsia splendida	Brunfelsia	Solanaceae	AM	family
Brunfelsia undulata	Brunfelsia	Solanaceae	AM	family
Brunfelsia uniflora	Brunfelsia	Solanaceae	AM	family
Brya buxifolia	Brya	Fabaceae	AM	genus
Brya chrysogonii	Brya	Fabaceae	AM	genus
Brya depressa	Brya	Fabaceae	AM	genus
Brya ebenus	Brya	Fabaceae	AM	genus
Brya hirsuta	Brya	Fabaceae	AM	genus
Brya microphylla	Brya	Fabaceae	AM	genus
Brya subinermis	Brya	Fabaceae	AM	genus
Buchanania amboinensis	Buchanania	Anacardiaceae	AM	genus
Buchanania arborescens	Buchanania	Anacardiaceae	AM	genus
Buchanania attenuata	Buchanania	Anacardiaceae	AM	genus
Buchanania axillaris	Buchanania	Anacardiaceae	AM	genus
Buchanania barberi	Buchanania	Anacardiaceae	AM	genus
Buchanania engleriana	Buchanania	Anacardiaceae	AM	genus
Buchanania ×evrardii	Buchanania	Anacardiaceae	AM	genus
Buchanania ferruginea	Buchanania	Anacardiaceae	AM	genus
Buchanania glabra	Buchanania	Anacardiaceae	AM	genus
Buchanania insignis	Buchanania	Anacardiaceae	AM	genus
Buchanania lanceolata	Buchanania	Anacardiaceae	AM	genus
Buchanania lancifolia	Buchanania	Anacardiaceae	AM	genus
Buchanania cochinchinensis	Buchanania	Anacardiaceae	AM	genus
Buchanania macrocarpa	Buchanania	Anacardiaceae	AM	genus
Buchanania mangoides	Buchanania	Anacardiaceae	AM	genus
Buchanania merrillii	Buchanania	Anacardiaceae	AM	genus
Buchanania microphylla	Buchanania	Anacardiaceae	AM	genus
Buchanania nitida	Buchanania	Anacardiaceae	AM	genus
Buchanania obovata	Buchanania	Anacardiaceae	AM	genus
Buchanania palawensis	Buchanania	Anacardiaceae	AM	genus
Buchanania reticulata	Buchanania	Anacardiaceae	AM	genus
Buchanania sessilifolia	Buchanania	Anacardiaceae	AM	genus
Buchanania siamensis	Buchanania	Anacardiaceae	AM	genus
Buchanania splendens	Buchanania	Anacardiaceae	AM	genus
Buchanania vitiensis	Buchanania	Anacardiaceae	AM	genus
Buchanania yunnanensis	Buchanania	Anacardiaceae	AM	genus
Buchholzia coriacea	Buchholzia	Capparaceae	AM	genus
Buchholzia tholloniana	Buchholzia	Capparaceae	AM	genus
Buchnerodendron speciosum	Buchnerodendron	Achariaceae	AM	genus
Buckinghamia celsissima	Buckinghamia	Proteaceae	NM	genus
Buckinghamia ferruginiflora	Buckinghamia	Proteaceae	NM	genus
Bucquetia glutinosa	Bucquetia	Melastomataceae	AM	genus
Buddleja alternifolia	Buddleja	Scrophulariaceae	AM	genus
Buddleja americana	Buddleja	Scrophulariaceae	AM	genus
Buddleja asiatica	Buddleja	Scrophulariaceae	AM	genus
Buddleja auriculata	Buddleja	Scrophulariaceae	AM	genus
Buddleja bullata	Buddleja	Scrophulariaceae	AM	genus
Buddleja colvilei	Buddleja	Scrophulariaceae	AM	genus
Buddleja cordata	Buddleja	Scrophulariaceae	AM	genus
Buddleja coriacea	Buddleja	Scrophulariaceae	AM	genus
Buddleja domingensis	Buddleja	Scrophulariaceae	AM	genus
Buddleja euryphylla	Buddleja	Scrophulariaceae	AM	genus
Buddleja curviflora	Buddleja	Scrophulariaceae	AM	genus
Buddleja incana	Buddleja	Scrophulariaceae	AM	genus
Buddleja longifolia	Buddleja	Scrophulariaceae	AM	genus
Buddleja macrostachya	Buddleja	Scrophulariaceae	AM	genus
Buddleja madagascariensis	Buddleja	Scrophulariaceae	AM	genus
Buddleja megalocephala	Buddleja	Scrophulariaceae	AM	genus
Buddleja montana	Buddleja	Scrophulariaceae	AM	genus
Buddleja nitida	Buddleja	Scrophulariaceae	AM	genus
Buddleja officinalis	Buddleja	Scrophulariaceae	AM	genus
Buddleja paniculata	Buddleja	Scrophulariaceae	AM	genus
Buddleja parviflora	Buddleja	Scrophulariaceae	AM	genus
Buddleja pichinchensis	Buddleja	Scrophulariaceae	AM	genus
Buddleja polycephala	Buddleja	Scrophulariaceae	AM	genus
Buddleja polystachya	Buddleja	Scrophulariaceae	AM	genus
Buddleja rufescens	Buddleja	Scrophulariaceae	AM	genus
Buddleja saligna	Buddleja	Scrophulariaceae	AM	genus
Buddleja salviifolia	Buddleja	Scrophulariaceae	AM	genus
Buddleja sessiliflora	Buddleja	Scrophulariaceae	AM	genus
Buddleja skutchii	Buddleja	Scrophulariaceae	AM	genus
Buddleja soratae	Buddleja	Scrophulariaceae	AM	genus
Bullockia dyscritos	Bullockia	Rubiaceae	AM	genus
Bullockia impressinervia	Bullockia	Rubiaceae	AM	genus
Bullockia mombazensis	Bullockia	Rubiaceae	AM	genus
Bulnesia retamo	Bulnesia	Zygophyllaceae	NM-AM	genus
Bunchosia angustifolia	Bunchosia	Malpighiaceae	AM	genus
Bunchosia anomala	Bunchosia	Malpighiaceae	AM	genus
Bunchosia argentea	Bunchosia	Malpighiaceae	AM	genus
Bunchosia armeniaca	Bunchosia	Malpighiaceae	AM	genus
Bunchosia articulata	Bunchosia	Malpighiaceae	AM	genus
Bunchosia berlinii	Bunchosia	Malpighiaceae	AM	genus
Bunchosia biocellata	Bunchosia	Malpighiaceae	AM	genus
Bunchosia breedlovei	Bunchosia	Malpighiaceae	AM	genus
Bunchosia cauliflora	Bunchosia	Malpighiaceae	AM	genus
Bunchosia cestrifolia	Bunchosia	Malpighiaceae	AM	genus
Bunchosia costaricensis	Bunchosia	Malpighiaceae	AM	genus
Bunchosia decussiflora	Bunchosia	Malpighiaceae	AM	genus
Bunchosia deflexa	Bunchosia	Malpighiaceae	AM	genus
Bunchosia diphylla	Bunchosia	Malpighiaceae	AM	genus
Bunchosia dwyeri	Bunchosia	Malpighiaceae	AM	genus
Bunchosia ekmanii	Bunchosia	Malpighiaceae	AM	genus
Bunchosia elliptica	Bunchosia	Malpighiaceae	AM	genus
Bunchosia emarginata	Bunchosia	Malpighiaceae	AM	genus
Bunchosia glandulifera	Bunchosia	Malpighiaceae	AM	genus
Bunchosia glandulosa	Bunchosia	Malpighiaceae	AM	genus
Bunchosia grayumii	Bunchosia	Malpighiaceae	AM	genus
Bunchosia guatemalensis	Bunchosia	Malpighiaceae	AM	genus
Bunchosia haitiensis	Bunchosia	Malpighiaceae	AM	genus
Bunchosia hartwegiana	Bunchosia	Malpighiaceae	AM	genus
Bunchosia hookeriana	Bunchosia	Malpighiaceae	AM	genus
Bunchosia jamaicensis	Bunchosia	Malpighiaceae	AM	genus
Bunchosia lindeniana	Bunchosia	Malpighiaceae	AM	genus
Bunchosia macilenta	Bunchosia	Malpighiaceae	AM	genus
Bunchosia macrophylla	Bunchosia	Malpighiaceae	AM	genus
Bunchosia maritima	Bunchosia	Malpighiaceae	AM	genus
Bunchosia mesoamericana	Bunchosia	Malpighiaceae	AM	genus
Bunchosia mollis	Bunchosia	Malpighiaceae	AM	genus
Bunchosia nitida	Bunchosia	Malpighiaceae	AM	genus
Bunchosia odorata	Bunchosia	Malpighiaceae	AM	genus
Bunchosia pallescens	Bunchosia	Malpighiaceae	AM	genus
Bunchosia palmeri	Bunchosia	Malpighiaceae	AM	genus
Bunchosia paraguariensis	Bunchosia	Malpighiaceae	AM	genus
Bunchosia plowmanii	Bunchosia	Malpighiaceae	AM	genus
Bunchosia polystachia	Bunchosia	Malpighiaceae	AM	genus
Bunchosia pseudonitida	Bunchosia	Malpighiaceae	AM	genus
Bunchosia sonorensis	Bunchosia	Malpighiaceae	AM	genus
