family	genus	scientific_name	mycorrhizal_type
Pittosporaceae	Pittosporum	Pittosporum moluccanum	AM
Rubiaceae	Gardenia	Gardenia schwarzii	AM
Rutaceae	Boronia	Boronia pinnata	AM
Meliaceae	Sandoricum	Sandoricum koetjape	AM
Euphorbiaceae	Mallotus	Mallotus mollissimus	AM
Myrtaceae	Eucalyptus	Eucalyptus incerata	EcM
Myrtaceae	Sphaerantia	Sphaerantia discolor	EcM-AM
Phyllanthaceae	Cleistanthus	Cleistanthus semiopacus	AM
Fabaceae	Archidendron	Archidendron lovelliae	AM
Oleaceae	Notelaea	Notelaea longifolia	AM
Scrophulariaceae	Myoporum	Myoporum insulare	AM
Rutaceae	Zieria	Zieria lasiocaulis	AM
Proteaceae	Hakea	Hakea dactyloides	NM
Fabaceae	Acacia	Acacia neurophylla	EcM-AM
Malvaceae	Brachychiton	Brachychiton fitzgeraldianus	AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus kirtonii	AM
Celastraceae	Elaeodendron	Elaeodendron australe	AM
Malvaceae	Brachychiton	Brachychiton populneus	AM
Proteaceae	Hakea	Hakea fraseri	NM
Proteaceae	Athertonia	Athertonia diversifolia	NM
Fabaceae	Acacia	Acacia rothii	EcM-AM
Malvaceae	Cola	Cola brevipes	AM
Proteaceae	Grevillea	Grevillea juncifolia	NM
Euphorbiaceae	Macaranga	Macaranga tanarius	AM
Urticaceae	Dendrocnide	Dendrocnide peltata	NM-AM
Meliaceae	Dysoxylum	Dysoxylum pumilum	AM
Rhizophoraceae	Rhizophora	Rhizophora mucronata	NM-AM
Ebenaceae	Diospyros	Diospyros peninsularis	AM
Myrtaceae	Eucalyptus	Eucalyptus alatissima	EcM
Pittosporaceae	Bursaria	Bursaria spinosa	AM
Combretaceae	Terminalia	Terminalia grandiflora	AM
Myrtaceae	Eucalyptus	Eucalyptus salubris	EcM
Moraceae	Ficus	Ficus rubiginosa	AM
Ericaceae	Dracophyllum	Dracophyllum fitzgeraldii	ErM
Boraginaceae	Ehretia	Ehretia saligna	NM-AM
Myrtaceae	Eucalyptus	Eucalyptus aspersa	EcM
Sapindaceae	Mischarytera	Mischarytera lautereriana	AM
Myrtaceae	Eucalyptus	Eucalyptus sargentii	EcM
Cannabaceae	Trema	Trema orientale	AM
Cycadaceae	Cycas	Cycas media	AM
Casuarinaceae	Allocasuarina	Allocasuarina diminuta	EcM-AM
Fabaceae	Xylia	Xylia xylocarpa	AM
Arecaceae	Arenga	Arenga australasica	AM
Fabaceae	Senegalia	Senegalia catechu	AM
Bignoniaceae	Dolichandrone	Dolichandrone filiformis	AM
Cunoniaceae	Eucryphia	Eucryphia lucida	AM
Myrtaceae	Eucalyptus	Eucalyptus pimpiniana	EcM
Rhizophoraceae	Ceriops	Ceriops tagal	NM-AM
Myrtaceae	Corymbia	Corymbia bloxsomei	EcM
Surianaceae	Guilfoylia	Guilfoylia monostylis	AM
Euphorbiaceae	Calycopeplus	Calycopeplus casuarinoides	AM
Myrtaceae	Lophostemon	Lophostemon grandiflorus	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus oligantha	EcM
Myrtaceae	Leptospermum	Leptospermum grandifolium	EcM-AM
Fabaceae	Cynometra	Cynometra iripa	AM
Myrtaceae	Eucalyptus	Eucalyptus leucoxylon	EcM
Myrtaceae	Angophora	Angophora floribunda	EcM
Fabaceae	Acacia	Acacia disparrima	EcM-AM
Fabaceae	Acacia	Acacia longifolia	EcM-AM
Asteraceae	Baccharis	Baccharis salicifolia	AM
Ebenaceae	Diospyros	Diospyros humilis	AM
Malvaceae	Hibiscus	Hibiscus diversifolius	AM
Proteaceae	Banksia	Banksia littoralis	NM
Lamiaceae	Vitex	Vitex acuminata	AM
Fabaceae	Acacia	Acacia undoolyana	EcM-AM
Fabaceae	Senna	Senna circinnata	AM
Sapindaceae	Guioa	Guioa comesperma	AM
Myrtaceae	Eucalyptus	Eucalyptus eremophila	EcM
Fabaceae	Acacia	Acacia dangarensis	EcM-AM
Cannabaceae	Celtis	Celtis philippensis	AM
Myrtaceae	Eucalyptus	Eucalyptus viminalis	EcM
Araucariaceae	Araucaria	Araucaria cunninghamii	AM
Fabaceae	Acacia	Acacia prominens	EcM-AM
Fabaceae	Acacia	Acacia monticola	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus crebra	EcM
Apocynaceae	Ochrosia	Ochrosia kilneri	AM
Myrtaceae	Eucalyptus	Eucalyptus opimiflora	EcM
Meliaceae	Xylocarpus	Xylocarpus granatum	AM
Sapindaceae	Atalaya	Atalaya variifolia	AM
Myrtaceae	Eucalyptus	Eucalyptus mannensis	EcM
Lauraceae	Cryptocarya	Cryptocarya angulata	AM
Myrtaceae	Rhodamnia	Rhodamnia rubescens	AM
Bignoniaceae	Handroanthus	Handroanthus heptaphyllus	AM
Sapindaceae	Elattostachys	Elattostachys microcarpa	AM
Rubiaceae	Psydrax	Psydrax odorata	AM
Myrtaceae	Eucalyptus	Eucalyptus striaticalyx	EcM
Myrtaceae	Eucalyptus	Eucalyptus carnei	EcM
Myrtaceae	Eucalyptus	Eucalyptus eudesmioides	EcM
Santalaceae	Exocarpos	Exocarpos sparteus	NM-AM
Fabaceae	Acacia	Acacia beauverdiana	EcM-AM
Fabaceae	Acacia	Acacia binervia	EcM-AM
Fabaceae	Acacia	Acacia calamifolia	EcM-AM
Fabaceae	Acacia	Acacia spectabilis	EcM-AM
Fabaceae	Senegalia	Senegalia tenuifolia	AM
Rubiaceae	Vangueria	Vangueria madagascariensis	AM
Myrtaceae	Eucalyptus	Eucalyptus fraseri	EcM
Myrtaceae	Corymbia	Corymbia stockeri	EcM
Myrtaceae	Eucalyptus	Eucalyptus luehmanniana	EcM
Fabaceae	Acacia	Acacia longissima	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus cypellocarpa	EcM
Araliaceae	Polyscias	Polyscias murrayi	AM
Lythraceae	Sonneratia	Sonneratia caseolaris	AM
Cycadaceae	Cycas	Cycas rumphii	AM
Fabaceae	Acacia	Acacia angusta	EcM-AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus linsmithii	AM
Fabaceae	Pararchidendron	Pararchidendron pruinosum	AM
Rubiaceae	Atractocarpus	Atractocarpus sessilis	NM-AM
Fabaceae	Acacia	Acacia orites	EcM-AM
Fabaceae	Acacia	Acacia tumida	EcM-AM
Rubiaceae	Cyclophyllum	Cyclophyllum schultzii	AM
Myrtaceae	Gossia	Gossia dallachyana	AM
Annonaceae	Mitrephora	Mitrephora diversifolia	AM
Annonaceae	Meiogyne	Meiogyne bidwillii	AM
Euphorbiaceae	Ricinocarpos	Ricinocarpos verrucosus	AM
Pennantiaceae	Pennantia	Pennantia endlicheri	AM
