family	genus	scientific_name	mycorrhizal_type
Scrophulariaceae	Eremophila	Eremophila oppositifolia	AM
Lamiaceae	Volkameria	Volkameria heterophylla	AM
Sapindaceae	Toechima	Toechima daemelianum	AM
Proteaceae	Lasjia	Lasjia grandis	NM
Sapotaceae	Planchonella	Planchonella euphlebia	AM
Proteaceae	Grevillea	Grevillea sessilis	NM
Violaceae	Rinorea	Rinorea bengalensis	AM
Fabaceae	Acacia	Acacia rivalis	EcM-AM
Metteniusaceae	Apodytes	Apodytes brachystylis	AM
Myrtaceae	Eucalyptus	Eucalyptus dives	EcM
Myrtaceae	Corymbia	Corymbia jacobsiana	EcM
Malvaceae	Androcalva	Androcalva perkinsiana	AM
Casuarinaceae	Allocasuarina	Allocasuarina torulosa	EcM-AM
Rutaceae	Melicope	Melicope littoralis	AM
Rubiaceae	Tarenna	Tarenna dallachiana	NM-AM
Myrtaceae	Melaleuca	Melaleuca quinquenervia	EcM-AM
Podocarpaceae	Dacrycarpus	Dacrycarpus dacrydioides	AM
Fabaceae	Acacia	Acacia attenuata	EcM-AM
Capparaceae	Capparis	Capparis shanesiana	AM
Moraceae	Ficus	Ficus ridleyana	AM
Achariaceae	Ryparosa	Ryparosa javanica	AM
Rubiaceae	Cyclophyllum	Cyclophyllum longipetalum	AM
Thymelaeaceae	Phaleria	Phaleria biflora	AM
Bignoniaceae	Dolichandrone	Dolichandrone heterophylla	AM
Myrtaceae	Eucalyptus	Eucalyptus leptopoda	EcM
Sapindaceae	Alectryon	Alectryon forsythii	AM
Euphorbiaceae	Macaranga	Macaranga involucrata	AM
Fabaceae	Lysiphyllum	Lysiphyllum hookeri	AM
Atherospermataceae	Atherosperma	Atherosperma moschatum	AM
Rhamnaceae	Alphitonia	Alphitonia incana	AM
Fabaceae	Acacia	Acacia colletioides	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus archeri	EcM
Myrtaceae	Eucalyptus	Eucalyptus fraxinoides	EcM
Malvaceae	Firmiana	Firmiana diversifolia	AM
Fabaceae	Acacia	Acacia distans	EcM-AM
Myrtaceae	Syzygium	Syzygium monospermum	AM
Fabaceae	Acacia	Acacia neurocarpa	EcM-AM
Scrophulariaceae	Eremophila	Eremophila interstans	AM
Myrtaceae	Eucalyptus	Eucalyptus cernua	EcM
Phyllanthaceae	Cleistanthus	Cleistanthus cunninghamii	AM
Myrtaceae	Eucalyptus	Eucalyptus canescens	EcM
Myrtaceae	Lithomyrtus	Lithomyrtus cordata	AM
Lauraceae	Litsea	Litsea bindoniana	AM
Myrtaceae	Eucalyptus	Eucalyptus platyphylla	EcM
Myrtaceae	Syzygium	Syzygium bungadinnia	AM
Fabaceae	Carmichaelia	Carmichaelia australis	AM
Araucariaceae	Araucaria	Araucaria columnaris	AM
Myrtaceae	Lenwebbia	Lenwebbia lasioclada	AM
Lecythidaceae	Barringtonia	Barringtonia racemosa	AM
Lauraceae	Litsea	Litsea breviumbellata	AM
Fabaceae	Acacia	Acacia filicifolia	EcM-AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus miegei	AM
Myrtaceae	Melaleuca	Melaleuca pauperiflora	EcM-AM
Myrtaceae	Syzygium	Syzygium fratris	AM
Myrtaceae	Eucalyptus	Eucalyptus gracilis	EcM
Proteaceae	Triunia	Triunia erythrocarpa	NM
Malvaceae	Azanza	Azanza lampas	AM
Myrtaceae	Eucalyptus	Eucalyptus panda	EcM
Melastomataceae	Miconia	Miconia argentea	AM
Myrtaceae	Eucalyptus	Eucalyptus leptophleba	EcM
Myrtaceae	Eucalyptus	Eucalyptus praetermissa	EcM
Fabaceae	Erythrina	Erythrina vespertilio	AM
Myrtaceae	Eucalyptus	Eucalyptus suggrandis	EcM
Myrtaceae	Syncarpia	Syncarpia glomulifera	EcM-AM
Fabaceae	Acacia	Acacia catenulata	EcM-AM
Fabaceae	Acacia	Acacia ingramii	EcM-AM
Fabaceae	Acacia	Acacia blayana	EcM-AM
Myrtaceae	Angophora	Angophora subvelutina	EcM
Rubiaceae	Pavetta	Pavetta tomentosa	AM
Atherospermataceae	Dryadodaphne	Dryadodaphne trachyphloia	AM
Myrtaceae	Melaleuca	Melaleuca rhaphiophylla	EcM-AM
Lauraceae	Endiandra	Endiandra cowleyana	AM
Myrtaceae	Melaleuca	Melaleuca gibbosa	EcM-AM
Myrtaceae	Leptospermum	Leptospermum laevigatum	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus caesia	EcM
Myrtaceae	Corymbia	Corymbia cliftoniana	EcM
Moraceae	Ficus	Ficus drupacea	AM
Phyllanthaceae	Phyllanthus	Phyllanthus ciccoides	AM
Fabaceae	Neltuma	Neltuma chilensis	AM
Myrtaceae	Myrceugenia	Myrceugenia euosma	AM
Fabaceae	Jacksonia	Jacksonia scoparia	EcM-AM
Araliaceae	Heptapleurum	Heptapleurum venulosum	AM
Lamiaceae	Gmelina	Gmelina hollrungii	AM
Myrtaceae	Melaleuca	Melaleuca teretifolia	EcM-AM
Sapindaceae	Mischocarpus	Mischocarpus australis	AM
Arecaceae	Hydriastele	Hydriastele wendlandiana	AM
Myrtaceae	Eucalyptus	Eucalyptus dura	EcM
Myrtaceae	Eucalyptus	Eucalyptus fasciculosa	EcM
Myrtaceae	Leptospermum	Leptospermum glaucescens	EcM-AM
Lythraceae	Lagerstroemia	Lagerstroemia engleriana	AM
Myrtaceae	Eucalyptus	Eucalyptus pileata	EcM
Myrtaceae	Kunzea	Kunzea clavata	EcM-AM
Fabaceae	Acacia	Acacia tropica	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus rudderi	EcM
Fabaceae	Cathormion	Cathormion umbellatum	AM
Myrtaceae	Eucalyptus	Eucalyptus rhodantha	EcM
Lamiaceae	Clerodendrum	Clerodendrum indicum	AM
Fabaceae	Acacia	Acacia linifolia	EcM-AM
Casuarinaceae	Gymnostoma	Gymnostoma australianum	AM
Moraceae	Ficus	Ficus brachypoda	AM
Proteaceae	Stenocarpus	Stenocarpus angustifolius	NM
Fabaceae	Acacia	Acacia difformis	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus eugenioides	EcM
Podocarpaceae	Phyllocladus	Phyllocladus aspleniifolius	AM
Fabaceae	Acacia	Acacia maconochieana	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus lucens	EcM
Fabaceae	Hymenolobium	Hymenolobium sericeum	AM
Casuarinaceae	Allocasuarina	Allocasuarina verticillata	EcM-AM
Cunoniaceae	Acrophyllum	Acrophyllum australe	AM
Myrtaceae	Eucalyptus	Eucalyptus pauciflora	EcM
Bignoniaceae	Handroanthus	Handroanthus chrysotrichus	AM
Ebenaceae	Diospyros	Diospyros compacta	AM
Proteaceae	Helicia	Helicia australasica	NM
Meliaceae	Prasoxylon	Prasoxylon alliaceum	AM
Pittosporaceae	Hymenosporum	Hymenosporum flavum	AM
Ericaceae	Dracophyllum	Dracophyllum longifolium	ErM
Cupressaceae	Callitris	Callitris muelleri	AM
Proteaceae	Banksia	Banksia seminuda	NM
Myrtaceae	Corymbia	Corymbia dunlopiana	EcM
Myrtaceae	Eucalyptus	Eucalyptus strzeleckii	EcM
Gentianaceae	Utania	Utania volubilis	AM
Myrtaceae	Syzygium	Syzygium crebrinerve	AM
Fabaceae	Acacia	Acacia verricula	EcM-AM
Myrtaceae	Corymbia	Corymbia polysciada	EcM
Myrtaceae	Eucalyptus	Eucalyptus piperita	EcM
Fabaceae	Acacia	Acacia saxatilis	EcM-AM
Rubiaceae	Coprosma	Coprosma quadrifida	AM
Proteaceae	Hakea	Hakea preissii	NM
Myrtaceae	Eucalyptus	Eucalyptus sabulosa	EcM
Proteaceae	Stenocarpus	Stenocarpus salignus	NM
Celastraceae	Denhamia	Denhamia moorei	AM
Fabaceae	Acacia	Acacia silvestris	EcM-AM
Scrophulariaceae	Eremophila	Eremophila oldfieldii	AM
Myrtaceae	Metrosideros	Metrosideros laurifolia	AM
Fabaceae	Piliostigma	Piliostigma malabaricum	AM
Myrtaceae	Eucalyptus	Eucalyptus capitellata	EcM
Escalloniaceae	Polyosma	Polyosma hirsuta	AM
Rutaceae	Glycosmis	Glycosmis cyanocarpa	AM
Fabaceae	Acacia	Acacia obtusifolia	EcM-AM
Lauraceae	Cinnamomum	Cinnamomum virens	AM
Urticaceae	Boehmeria	Boehmeria virgata	NM-AM
Myrtaceae	Eucalyptus	Eucalyptus major	EcM
Fabaceae	Acacia	Acacia subporosa	EcM-AM
Burseraceae	Garuga	Garuga floribunda	AM
Fabaceae	Acacia	Acacia tingoorensis	EcM-AM
Cycadaceae	Cycas	Cycas silvestris	AM
Rhamnaceae	Emmenosperma	Emmenosperma alphitonoides	AM
Myrtaceae	Syzygium	Syzygium fullagarii	AM
Myrtaceae	Eucalyptus	Eucalyptus phaenophylla	EcM
Malvaceae	Grewia	Grewia orientalis	AM
Fabaceae	Acacia	Acacia falcata	EcM-AM
Myrtaceae	Angophora	Angophora bakeri	EcM
Myrtaceae	Homalospermum	Homalospermum firmum	EcM-AM
Fabaceae	Acacia	Acacia brockii	EcM-AM
Fabaceae	Vachellia	Vachellia pallidifolia	AM
Monimiaceae	Hedycarya	Hedycarya angustifolia	AM
Scrophulariaceae	Myoporum	Myoporum laetum	AM
Atherospermataceae	Doryphora	Doryphora sassafras	AM
Fabaceae	Acacia	Acacia hamersleyensis	EcM-AM
Fabaceae	Archidendron	Archidendron vaillantii	AM
Ebenaceae	Diospyros	Diospyros laurina	AM
Picrodendraceae	Dissiliaria	Dissiliaria indistincta	AM
Moraceae	Ficus	Ficus racemosa	AM
Rutaceae	Flindersia	Flindersia acuminata	AM
Proteaceae	Xylomelum	Xylomelum scottianum	NM
Sapotaceae	Planchonella	Planchonella pohlmaniana	AM
Myrtaceae	Eucalyptus	Eucalyptus lockyeri	EcM
Myrtaceae	Syzygium	Syzygium malaccense	AM
Lamiaceae	Premna	Premna tomentosa	AM
Myrtaceae	Gossia	Gossia hillii	AM
Euphorbiaceae	Macaranga	Macaranga peltata	AM
Myrtaceae	Eucalyptus	Eucalyptus flindersii	EcM
Rubiaceae	Atractocarpus	Atractocarpus chartaceus	NM-AM
Sapotaceae	Planchonella	Planchonella duclitan	AM
Myrtaceae	Eucalyptus	Eucalyptus leprophloia	EcM
Myrtaceae	Eucalyptus	Eucalyptus cladocalyx	EcM
Fabaceae	Vachellia	Vachellia pachyphloia	AM
Gyrostemonaceae	Codonocarpus	Codonocarpus attenuatus	NM
Asteraceae	Dahlia	Dahlia imperialis	AM
Myrtaceae	Corymbia	Corymbia leptoloma	EcM
Fabaceae	Guilandina	Guilandina bonduc	AM
Myrtaceae	Eucalyptus	Eucalyptus cordata	EcM
Moraceae	Ficus	Ficus benjamina	AM
Ebenaceae	Diospyros	Diospyros hemicycloides	AM
Sapindaceae	Cupaniopsis	Cupaniopsis wadsworthii	AM
Myrtaceae	Corymbia	Corymbia peltata	EcM
Celastraceae	Salacia	Salacia leptoclada	NM-AM
Araliaceae	Polyscias	Polyscias sambucifolia	AM
Myrtaceae	Eucalyptus	Eucalyptus erectifolia	EcM
Fabaceae	Vachellia	Vachellia sutherlandii	AM
Myrtaceae	Eucalyptus	Eucalyptus barberi	EcM
Proteaceae	Persoonia	Persoonia katerae	NM
Myrtaceae	Corymbia	Corymbia haematoxylon	EcM
Rutaceae	Geijera	Geijera salicifolia	AM
Asparagaceae	Cordyline	Cordyline fruticosa	AM
Myrtaceae	Eucalyptus	Eucalyptus argophloia	EcM
Myrtaceae	Eucalyptus	Eucalyptus rubida	EcM
Myrtaceae	Corymbia	Corymbia erythrophloia	EcM
Malvaceae	Adansonia	Adansonia gregorii	AM
Euphorbiaceae	Claoxylon	Claoxylon australe	AM
Fabaceae	Acacia	Acacia pteraneura	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus resinifera	EcM
Lauraceae	Endiandra	Endiandra leptodendron	AM
Myrtaceae	Eucalyptus	Eucalyptus intertexta	EcM
Rubiaceae	Ixora	Ixora timorensis	AM
Myrtaceae	Syzygium	Syzygium alatoramulum	AM
Myrtaceae	Eucalyptus	Eucalyptus glaucina	EcM
Annonaceae	Miliusa	Miliusa brahei	AM
Proteaceae	Banksia	Banksia solandrii	NM
Anacardiaceae	Blepharocarya	Blepharocarya involucrigera	AM
Sapotaceae	Niemeyera	Niemeyera prunifera	AM
Casuarinaceae	Allocasuarina	Allocasuarina campestris	EcM-AM
Fabaceae	Vachellia	Vachellia valida	AM
Cycadaceae	Cycas	Cycas canalis	AM
Myrtaceae	Eucalyptus	Eucalyptus brassiana	EcM
Myrtaceae	Eucalyptus	Eucalyptus hallii	EcM
Arecaceae	Desmoncus	Desmoncus polyacanthos	AM
Moraceae	Ficus	Ficus pleurocarpa	AM
Myrtaceae	Corymbia	Corymbia deserticola	EcM
Fabaceae	Acacia	Acacia eriopoda	EcM-AM
Casuarinaceae	Allocasuarina	Allocasuarina acutivalvis	EcM-AM
Proteaceae	Persoonia	Persoonia muelleri	NM
Myrtaceae	Syzygium	Syzygium johnsonii	AM
Myrtaceae	Leptospermum	Leptospermum madidum	EcM-AM
Oleaceae	Chionanthus	Chionanthus ramiflorus	AM
Fabaceae	Acacia	Acacia stipuligera	EcM-AM
Rubiaceae	Gardenia	Gardenia megasperma	AM
Araliaceae	Meryta	Meryta latifolia	AM
Scrophulariaceae	Eremophila	Eremophila mitchellii	AM
Myrtaceae	Melaleuca	Melaleuca hamulosa	EcM-AM
Bignoniaceae	Deplanchea	Deplanchea tetraphylla	AM
Fabaceae	Acacia	Acacia gibbosa	EcM-AM
Proteaceae	Orites	Orites excelsus	NM
Proteaceae	Grevillea	Grevillea stenobotrya	NM
Sapindaceae	Diploglottis	Diploglottis berniana	AM
Myrtaceae	Angophora	Angophora robur	EcM
Sapindaceae	Sarcotoechia	Sarcotoechia lanceolata	AM
Fabaceae	Acacia	Acacia lunata	EcM-AM
Burseraceae	Canarium	Canarium australianum	AM
Sapindaceae	Diploglottis	Diploglottis obovata	AM
Thymelaeaceae	Phaleria	Phaleria octandra	AM
Lauraceae	Cryptocarya	Cryptocarya foetida	AM
Fabaceae	Acacia	Acacia macdonnellensis	EcM-AM
Fabaceae	Paraserianthes	Paraserianthes lophantha	AM
Sapotaceae	Pleioluma	Pleioluma laurifolia	AM
Fabaceae	Acacia	Acacia proiantha	EcM-AM
Euphorbiaceae	Croton	Croton stigmatosus	AM
Rutaceae	Halfordia	Halfordia kendack	AM
Proteaceae	Banksia	Banksia arborea	NM
Myrtaceae	Eucalyptus	Eucalyptus dawsonii	EcM
Fabaceae	Acacia	Acacia covenyi	EcM-AM
Phyllanthaceae	Antidesma	Antidesma excavatum	AM
Fabaceae	Acacia	Acacia stricta	EcM-AM
Loranthaceae	Nuytsia	Nuytsia floribunda	NM
Rubiaceae	Psydrax	Psydrax banksii	AM
Malvaceae	Bombax	Bombax ceiba	AM
Proteaceae	Persoonia	Persoonia falcata	NM
Euphorbiaceae	Mallotus	Mallotus resinosus	AM
Scrophulariaceae	Eremophila	Eremophila virens	AM
Euphorbiaceae	Fontainea	Fontainea pancheri	AM
Lamiaceae	Vitex	Vitex agnus-castus	AM
Araucariaceae	Araucaria	Araucaria bidwillii	AM
Myrtaceae	Syzygium	Syzygium hemilamprum	AM
Rubiaceae	Peponidium	Peponidium buxifolium	AM
Lauraceae	Cryptocarya	Cryptocarya triplinervis	AM
Myrtaceae	Melaleuca	Melaleuca rupestris	EcM-AM
Arecaceae	Hydriastele	Hydriastele costata	AM
Combretaceae	Terminalia	Terminalia platyptera	AM
Pandanaceae	Pandanus	Pandanus tectorius	NM-AM
Primulaceae	Myrsine	Myrsine subsessilis	AM
Myrtaceae	Eucalyptus	Eucalyptus grandis	EcM
Myrtaceae	Eucalyptus	Eucalyptus caleyi	EcM
Myrtaceae	Eucalyptus	Eucalyptus albopurpurea	EcM
Cunoniaceae	Davidsonia	Davidsonia pruriens	AM
Rutaceae	Clausena	Clausena brevistyla	AM
Proteaceae	Hakea	Hakea lorea	NM
Myristicaceae	Myristica	Myristica insipida	AM
Myrtaceae	Melaleuca	Melaleuca bracteata	EcM-AM
Myrtaceae	Ristantia	Ristantia waterhousei	EcM-AM
Fabaceae	Acacia	Acacia cyclops	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus conglobata	EcM
Apocynaceae	Alstonia	Alstonia costata	AM
Atherospermataceae	Daphnandra	Daphnandra repandula	AM
Fabaceae	Vachellia	Vachellia bidwillii	AM
Apocynaceae	Alstonia	Alstonia muelleriana	AM
Rutaceae	Melicope	Melicope polybotrya	AM
Myrtaceae	Eucalyptus	Eucalyptus radiata	EcM
Cunoniaceae	Karrabina	Karrabina biagiana	AM
Myrtaceae	Syzygium	Syzygium suborbiculare	AM
Proteaceae	Knightia	Knightia strobilina	NM
Proteaceae	Grevillea	Grevillea robusta	NM
Euphorbiaceae	Macaranga	Macaranga dallachyana	AM
Myrtaceae	Lithomyrtus	Lithomyrtus retusa	AM
Moraceae	Ficus	Ficus microcarpa	AM
Myrtaceae	Eucalyptus	Eucalyptus kruseana	EcM
Fabaceae	Acacia	Acacia oshanesii	EcM-AM
Fabaceae	Jacksonia	Jacksonia furcellata	EcM-AM
Moraceae	Ficus	Ficus scobina	AM
Podocarpaceae	Podocarpus	Podocarpus grayae	AM
Fabaceae	Acacia	Acacia ephedroides	EcM-AM
Fabaceae	Acacia	Acacia gonocarpa	EcM-AM
Primulaceae	Ardisia	Ardisia pachyrhachis	AM
Lamiaceae	Gmelina	Gmelina vitiensis	AM
Rubiaceae	Cyclophyllum	Cyclophyllum maritimum	AM
Myrtaceae	Eucalyptus	Eucalyptus corynodes	EcM
Arecaceae	Livistona	Livistona benthamii	AM
Rubiaceae	Amaracarpus	Amaracarpus nematopodus	AM
Myrtaceae	Corymbia	Corymbia confertiflora	EcM
Fabaceae	Cynometra	Cynometra ramiflora	AM
Fabaceae	Cynometra	Cynometra lenticellata	AM
Myrtaceae	Corymbia	Corymbia hylandii	EcM
Melastomataceae	Pleroma	Pleroma clavatum	AM
Myrtaceae	Eucalyptus	Eucalyptus acmenoides	EcM
Myrtaceae	Eucalyptus	Eucalyptus microcarpa	EcM
Myrtaceae	Eucalyptus	Eucalyptus conspicua	EcM
Rutaceae	Melicope	Melicope elleryana	AM
Fabaceae	Archidendron	Archidendron lucyi	AM
Lauraceae	Cryptocarya	Cryptocarya sclerophylla	AM
Proteaceae	Stenocarpus	Stenocarpus reticulatus	NM
Fabaceae	Acacia	Acacia peuce	EcM-AM
Bixaceae	Cochlospermum	Cochlospermum fraseri	AM
Myrtaceae	Eucalyptus	Eucalyptus pachyloma	EcM
Proteaceae	Stenocarpus	Stenocarpus sinuatus	NM
Myrtaceae	Syzygium	Syzygium oleosum	AM
Myrtaceae	Eucalyptus	Eucalyptus bridgesiana	EcM
Myrtaceae	Leptospermum	Leptospermum grandiflorum	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus ebbanoensis	EcM
Rutaceae	Zanthoxylum	Zanthoxylum nitidum	AM
Myrtaceae	Eucalyptus	Eucalyptus similis	EcM
Moraceae	Ficus	Ficus congesta	AM
Sapindaceae	Harpullia	Harpullia ramiflora	AM
Fabaceae	Acacia	Acacia longispinea	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus angustissima	EcM
Fabaceae	Acacia	Acacia convallium	EcM-AM
Fabaceae	Acacia	Acacia leptopetala	EcM-AM
Proteaceae	Persoonia	Persoonia media	NM
Fabaceae	Genista	Genista maderensis	AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus grandiflorus	AM
Malvaceae	Hibiscus	Hibiscus tiliaceus	AM
Meliaceae	Aglaia	Aglaia elaeagnoidea	AM
Thymelaeaceae	Phaleria	Phaleria capitata	AM
Fabaceae	Acacia	Acacia trineura	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus macrocarpa	EcM
Meliaceae	Owenia	Owenia vernicosa	AM
Malvaceae	Cola	Cola heterophylla	AM
Fabaceae	Archidendron	Archidendron grandiflorum	AM
Araucariaceae	Araucaria	Araucaria heterophylla	AM
Annonaceae	Meiogyne	Meiogyne heteropetala	AM
Sapindaceae	Atalaya	Atalaya australiana	AM
Lauraceae	Litsea	Litsea reticulata	AM
Fabaceae	Acacia	Acacia maidenii	EcM-AM
Cunoniaceae	Ceratopetalum	Ceratopetalum macrophyllum	AM
Myrtaceae	Syzygium	Syzygium dansiei	AM
Cunoniaceae	Ceratopetalum	Ceratopetalum iugumense	AM
Elaeocarpaceae	Sloanea	Sloanea woollsii	AM
Rutaceae	Glycosmis	Glycosmis macrophylla	AM
Lauraceae	Endiandra	Endiandra dielsiana	AM
Fabaceae	Acacia	Acacia rubida	EcM-AM
Phyllanthaceae	Actephila	Actephila petiolaris	AM
Myrtaceae	Eugenia	Eugenia lucida	AM
Fabaceae	Acacia	Acacia splendens	EcM-AM
Myristicaceae	Myristica	Myristica globosa	AM
Fabaceae	Acacia	Acacia assimilis	EcM-AM
Myrtaceae	Melaleuca	Melaleuca acacioides	EcM-AM
Proteaceae	Hakea	Hakea eyreana	NM
Phyllanthaceae	Glochidion	Glochidion mindorense	AM
Fabaceae	Acacia	Acacia orthocarpa	EcM-AM
Casuarinaceae	Allocasuarina	Allocasuarina luehmannii	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus redunca	EcM
Myrtaceae	Syzygium	Syzygium forte	AM
Myrtaceae	Gossia	Gossia lucida	AM
Sapotaceae	Sersalisia	Sersalisia sericea	AM
Phyllanthaceae	Bridelia	Bridelia insulana	AM
Proteaceae	Austromuellera	Austromuellera valida	NM
Arecaceae	Livistona	Livistona lanuginosa	AM
Fabaceae	Lamprolobium	Lamprolobium fruticosum	AM
Scrophulariaceae	Eremophila	Eremophila muelleriana	AM
Myrtaceae	Melaleuca	Melaleuca eleuterostachya	EcM-AM
Fabaceae	Acacia	Acacia elongata	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus thamnoides	EcM
Myrtaceae	Eucalyptus	Eucalyptus flocktoniae	EcM
Celastraceae	Elaeodendron	Elaeodendron melanocarpum	AM
Fabaceae	Acacia	Acacia omalophylla	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus jutsonii	EcM
Myrtaceae	Eucalyptus	Eucalyptus transcontinentalis	EcM
Myrtaceae	Syzygium	Syzygium hedraiophyllum	AM
Pittosporaceae	Pittosporum	Pittosporum erioloma	AM
Arecaceae	Normanbya	Normanbya normanbyi	AM
Fabaceae	Acacia	Acacia polybotrya	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus aspratilis	EcM
Myrtaceae	Corymbia	Corymbia gummifera	EcM
Atherospermataceae	Dryadodaphne	Dryadodaphne novoguineensis	AM
Sapindaceae	Mischocarpus	Mischocarpus sundaicus	AM
Rubiaceae	Gardenia	Gardenia vilhelmii	AM
Myrtaceae	Eucalyptus	Eucalyptus gregsoniana	EcM
Myrtaceae	Xanthostemon	Xanthostemon pubescens	EcM-AM
Myrtaceae	Astartea	Astartea leptophylla	EcM-AM
Fabaceae	Acacia	Acacia polyadenia	EcM-AM
Urticaceae	Dendrocnide	Dendrocnide corallodesme	NM-AM
Fabaceae	Acacia	Acacia julifera	EcM-AM
Olacaceae	Anacolosa	Anacolosa papuana	AM
Apocynaceae	Wrightia	Wrightia saligna	AM
Myrtaceae	Syzygium	Syzygium ingens	AM
Asphodelaceae	Xanthorrhoea	Xanthorrhoea semiplana	AM
Meliaceae	Toona	Toona ciliata	AM
Fabaceae	Acacia	Acacia masliniana	EcM-AM
Lecythidaceae	Planchonia	Planchonia careya	AM
Phyllanthaceae	Glochidion	Glochidion disparipes	AM
Fabaceae	Erythrophleum	Erythrophleum chlorostachys	AM
Asphodelaceae	Xanthorrhoea	Xanthorrhoea thorntonii	AM
Myrtaceae	Eucalyptus	Eucalyptus tardecidens	EcM
Melastomataceae	Memecylon	Memecylon pauciflorum	AM
Meliaceae	Didymocheton	Didymocheton fraserianus	AM
Euphorbiaceae	Mallotus	Mallotus paniculatus	AM
Lamiaceae	Vitex	Vitex lignum-vitae	AM
Phyllanthaceae	Bridelia	Bridelia exaltata	AM
Sapotaceae	Pleioluma	Pleioluma macrocarpa	AM
Rutaceae	Medicosma	Medicosma obovata	AM
Myrtaceae	Eucalyptus	Eucalyptus halophila	EcM
Malvaceae	Brachychiton	Brachychiton compactus	AM
Sapindaceae	Alectryon	Alectryon semicinereus	AM
Myrtaceae	Corymbia	Corymbia plena	EcM
Myrtaceae	Eucalyptus	Eucalyptus indurata	EcM
Araliaceae	Polyscias	Polyscias mollis	AM
Myrtaceae	Xanthostemon	Xanthostemon umbrosus	EcM-AM
Euphorbiaceae	Croton	Croton coccymelophyllus	AM
Myrtaceae	Melaleuca	Melaleuca alsophila	EcM-AM
Fabaceae	Albizia	Albizia canescens	AM
Erythroxylaceae	Erythroxylum	Erythroxylum ellipticum	AM
Myrtaceae	Syzygium	Syzygium moorei	AM
Ebenaceae	Diospyros	Diospyros rheophila	AM
Fabaceae	Acacia	Acacia exudans	EcM-AM
Combretaceae	Lumnitzera	Lumnitzera littorea	AM
Proteaceae	Hakea	Hakea petiolaris	NM
Fabaceae	Acacia	Acacia racospermoides	EcM-AM
Lauraceae	Endiandra	Endiandra glauca	AM
Myrtaceae	Melaleuca	Melaleuca stereophloia	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus sinuosa	EcM
Phyllanthaceae	Breynia	Breynia cernua	AM
Sapindaceae	Alectryon	Alectryon pubescens	AM
Fabaceae	Acacia	Acacia ampliata	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus fruticosa	EcM
Sapindaceae	Cupaniopsis	Cupaniopsis dallachyi	AM
Lauraceae	Neolitsea	Neolitsea dealbata	AM
Myrtaceae	Barongia	Barongia lophandra	EcM-AM
Fabaceae	Dalbergia	Dalbergia latifolia	AM
Myrtaceae	Rhodamnia	Rhodamnia blairiana	AM
Euphorbiaceae	Wetria	Wetria australiensis	AM
Fabaceae	Acacia	Acacia eremaea	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus moorei	EcM
Proteaceae	Brabejum	Brabejum stellatifolium	NM
Ebenaceae	Diospyros	Diospyros littorea	AM
Myrtaceae	Syzygium	Syzygium cormiflorum	AM
Proteaceae	Grevillea	Grevillea refracta	NM
Fabaceae	Acacia	Acacia dodonaeifolia	EcM-AM
Cupressaceae	Callitris	Callitris macleayana	AM
Sapindaceae	Guioa	Guioa pteropoda	AM
Rubiaceae	Timonius	Timonius singularis	AM
Myrtaceae	Xanthostemon	Xanthostemon whitei	EcM-AM
Araliaceae	Heptapleurum	Heptapleurum bractescens	AM
Casuarinaceae	Allocasuarina	Allocasuarina decussata	EcM-AM
Pandanaceae	Pandanus	Pandanus sibuyanensis	NM-AM
Fabaceae	Acacia	Acacia uncifera	EcM-AM
Proteaceae	Hakea	Hakea eriantha	NM
Sapindaceae	Diploglottis	Diploglottis cunninghamii	AM
Proteaceae	Hakea	Hakea laurina	NM
Sapotaceae	Van-royena	Van-royena castanosperma	AM
Anacardiaceae	Lannea	Lannea coromandelica	AM
Sapotaceae	Manilkara	Manilkara kauki	AM
Fabaceae	Acacia	Acacia semirigida	EcM-AM
Acanthaceae	Avicennia	Avicennia marina	NM-AM
Arecaceae	Archontophoenix	Archontophoenix cunninghamiana	AM
Malvaceae	Hibiscus	Hibiscus insularis	AM
Myrtaceae	Corymbia	Corymbia petalophylla	EcM
Salicaceae	Populus	Populus deltoides	EcM-AM
Asteraceae	Blumea	Blumea balsamifera	NM
Malvaceae	Brachychiton	Brachychiton incanus	AM
Myrtaceae	Melaleuca	Melaleuca styphelioides	EcM-AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus largiflorens	AM
Fabaceae	Zygia	Zygia dinizii	AM
